,Date,Time,Datetime,Home,Away,Home Win
0,2019-09-05,8:20PM,2019-09-05 20:20:00,Chicago Bears,Green Bay Packers,0
1,2019-09-08,1:00PM,2019-09-08 13:00:00,Minnesota Vikings,Atlanta Falcons,1
2,2019-09-08,1:00PM,2019-09-08 13:00:00,New York Jets,Buffalo Bills,0
3,2019-09-08,1:00PM,2019-09-08 13:00:00,Philadelphia Eagles,Washington Redskins,1
4,2019-09-08,1:00PM,2019-09-08 13:00:00,Cleveland Browns,Tennessee Titans,0
5,2019-09-08,1:00PM,2019-09-08 13:00:00,Carolina Panthers,Los Angeles Rams,0
6,2019-09-08,1:00PM,2019-09-08 13:00:00,Jacksonville Jaguars,Kansas City Chiefs,0
7,2019-09-08,1:00PM,2019-09-08 13:00:00,Miami Dolphins,Baltimore Ravens,0
8,2019-09-08,4:05PM,2019-09-08 16:05:00,Seattle Seahawks,Cincinnati Bengals,1
9,2019-09-08,4:05PM,2019-09-08 16:05:00,Los Angeles Chargers,Indianapolis Colts,1
10,2019-09-08,4:25PM,2019-09-08 16:25:00,Arizona Cardinals,Detroit Lions,0
11,2019-09-08,4:25PM,2019-09-08 16:25:00,Dallas Cowboys,New York Giants,1
12,2019-09-08,4:25PM,2019-09-08 16:25:00,Tampa Bay Buccaneers,San Francisco 49ers,0
13,2019-09-08,8:20PM,2019-09-08 20:20:00,New England Patriots,Pittsburgh Steelers,1
14,2019-09-09,7:10PM,2019-09-09 19:10:00,New Orleans Saints,Houston Texans,1
15,2019-09-09,10:20PM,2019-09-09 22:20:00,Oakland Raiders,Denver Broncos,1
16,2019-09-12,8:20PM,2019-09-12 20:20:00,Carolina Panthers,Tampa Bay Buccaneers,0
17,2019-09-15,1:00PM,2019-09-15 13:00:00,Baltimore Ravens,Arizona Cardinals,1
18,2019-09-15,1:00PM,2019-09-15 13:00:00,Washington Redskins,Dallas Cowboys,0
19,2019-09-15,1:00PM,2019-09-15 13:00:00,Pittsburgh Steelers,Seattle Seahawks,0
20,2019-09-15,1:00PM,2019-09-15 13:00:00,Green Bay Packers,Minnesota Vikings,1
21,2019-09-15,1:00PM,2019-09-15 13:00:00,Houston Texans,Jacksonville Jaguars,1
22,2019-09-15,1:00PM,2019-09-15 13:00:00,Cincinnati Bengals,San Francisco 49ers,0
23,2019-09-15,1:00PM,2019-09-15 13:00:00,Tennessee Titans,Indianapolis Colts,0
24,2019-09-15,1:00PM,2019-09-15 13:00:00,Miami Dolphins,New England Patriots,0
25,2019-09-15,1:00PM,2019-09-15 13:00:00,New York Giants,Buffalo Bills,0
26,2019-09-15,1:00PM,2019-09-15 13:00:00,Detroit Lions,Los Angeles Chargers,1
27,2019-09-15,4:05PM,2019-09-15 16:05:00,Oakland Raiders,Kansas City Chiefs,0
28,2019-09-15,4:25PM,2019-09-15 16:25:00,Denver Broncos,Chicago Bears,0
29,2019-09-15,4:25PM,2019-09-15 16:25:00,Los Angeles Rams,New Orleans Saints,1
30,2019-09-15,8:20PM,2019-09-15 20:20:00,Atlanta Falcons,Philadelphia Eagles,1
31,2019-09-16,8:15PM,2019-09-16 20:15:00,New York Jets,Cleveland Browns,0
32,2019-09-19,8:20PM,2019-09-19 20:20:00,Jacksonville Jaguars,Tennessee Titans,1
33,2019-09-22,1:00PM,2019-09-22 13:00:00,Indianapolis Colts,Atlanta Falcons,1
34,2019-09-22,1:00PM,2019-09-22 13:00:00,New England Patriots,New York Jets,1
35,2019-09-22,1:00PM,2019-09-22 13:00:00,Buffalo Bills,Cincinnati Bengals,1
36,2019-09-22,1:00PM,2019-09-22 13:00:00,Green Bay Packers,Denver Broncos,1
37,2019-09-22,1:00PM,2019-09-22 13:00:00,Philadelphia Eagles,Detroit Lions,0
38,2019-09-22,1:00PM,2019-09-22 13:00:00,Kansas City Chiefs,Baltimore Ravens,1
39,2019-09-22,1:00PM,2019-09-22 13:00:00,Minnesota Vikings,Oakland Raiders,1
40,2019-09-22,1:00PM,2019-09-22 13:00:00,Dallas Cowboys,Miami Dolphins,1
41,2019-09-22,4:05PM,2019-09-22 16:05:00,Tampa Bay Buccaneers,New York Giants,0
42,2019-09-22,4:05PM,2019-09-22 16:05:00,Arizona Cardinals,Carolina Panthers,0
43,2019-09-22,4:25PM,2019-09-22 16:25:00,Seattle Seahawks,New Orleans Saints,0
44,2019-09-22,4:25PM,2019-09-22 16:25:00,San Francisco 49ers,Pittsburgh Steelers,1
45,2019-09-22,4:25PM,2019-09-22 16:25:00,Los Angeles Chargers,Houston Texans,0
46,2019-09-22,8:20PM,2019-09-22 20:20:00,Cleveland Browns,Los Angeles Rams,0
47,2019-09-23,8:15PM,2019-09-23 20:15:00,Washington Redskins,Chicago Bears,0
48,2019-09-26,8:20PM,2019-09-26 20:20:00,Green Bay Packers,Philadelphia Eagles,0
49,2019-09-29,1:00PM,2019-09-29 13:00:00,New York Giants,Washington Redskins,1
50,2019-09-29,1:00PM,2019-09-29 13:00:00,Houston Texans,Carolina Panthers,0
51,2019-09-29,1:00PM,2019-09-29 13:00:00,Atlanta Falcons,Tennessee Titans,0
52,2019-09-29,1:00PM,2019-09-29 13:00:00,Buffalo Bills,New England Patriots,0
53,2019-09-29,1:00PM,2019-09-29 13:00:00,Detroit Lions,Kansas City Chiefs,0
54,2019-09-29,1:00PM,2019-09-29 13:00:00,Baltimore Ravens,Cleveland Browns,0
55,2019-09-29,1:00PM,2019-09-29 13:00:00,Indianapolis Colts,Oakland Raiders,0
56,2019-09-29,1:00PM,2019-09-29 13:00:00,Miami Dolphins,Los Angeles Chargers,0
57,2019-09-29,4:05PM,2019-09-29 16:05:00,Los Angeles Rams,Tampa Bay Buccaneers,0
58,2019-09-29,4:05PM,2019-09-29 16:05:00,Arizona Cardinals,Seattle Seahawks,0
59,2019-09-29,4:25PM,2019-09-29 16:25:00,Chicago Bears,Minnesota Vikings,1
60,2019-09-29,4:25PM,2019-09-29 16:25:00,Denver Broncos,Jacksonville Jaguars,0
61,2019-09-29,8:20PM,2019-09-29 20:20:00,New Orleans Saints,Dallas Cowboys,1
62,2019-09-30,8:15PM,2019-09-30 20:15:00,Pittsburgh Steelers,Cincinnati Bengals,1
63,2019-10-03,8:20PM,2019-10-03 20:20:00,Seattle Seahawks,Los Angeles Rams,1
64,2019-10-06,1:00PM,2019-10-06 13:00:00,Philadelphia Eagles,New York Jets,1
65,2019-10-06,1:00PM,2019-10-06 13:00:00,New York Giants,Minnesota Vikings,0
66,2019-10-06,1:00PM,2019-10-06 13:00:00,Houston Texans,Atlanta Falcons,1
67,2019-10-06,1:00PM,2019-10-06 13:00:00,Tennessee Titans,Buffalo Bills,0
68,2019-10-06,1:00PM,2019-10-06 13:00:00,Pittsburgh Steelers,Baltimore Ravens,0
69,2019-10-06,1:00PM,2019-10-06 13:00:00,Cincinnati Bengals,Arizona Cardinals,0
70,2019-10-06,1:00PM,2019-10-06 13:00:00,New Orleans Saints,Tampa Bay Buccaneers,1
71,2019-10-06,1:00PM,2019-10-06 13:00:00,Washington Redskins,New England Patriots,0
72,2019-10-06,1:00PM,2019-10-06 13:00:00,Carolina Panthers,Jacksonville Jaguars,1
73,2019-10-06,1:00PM,2019-10-06 13:00:00,Oakland Raiders,Chicago Bears,1
74,2019-10-06,4:05PM,2019-10-06 16:05:00,Los Angeles Chargers,Denver Broncos,0
75,2019-10-06,4:25PM,2019-10-06 16:25:00,Dallas Cowboys,Green Bay Packers,0
76,2019-10-06,8:20PM,2019-10-06 20:20:00,Kansas City Chiefs,Indianapolis Colts,0
77,2019-10-07,8:15PM,2019-10-07 20:15:00,San Francisco 49ers,Cleveland Browns,1
78,2019-10-10,8:20PM,2019-10-10 20:20:00,New England Patriots,New York Giants,1
79,2019-10-13,9:30AM,2019-10-13 09:30:00,Tampa Bay Buccaneers,Carolina Panthers,0
80,2019-10-13,1:00PM,2019-10-13 13:00:00,Miami Dolphins,Washington Redskins,0
81,2019-10-13,1:00PM,2019-10-13 13:00:00,Kansas City Chiefs,Houston Texans,0
82,2019-10-13,1:00PM,2019-10-13 13:00:00,Minnesota Vikings,Philadelphia Eagles,1
83,2019-10-13,1:00PM,2019-10-13 13:00:00,Baltimore Ravens,Cincinnati Bengals,1
84,2019-10-13,1:00PM,2019-10-13 13:00:00,Jacksonville Jaguars,New Orleans Saints,0
85,2019-10-13,1:00PM,2019-10-13 13:00:00,Cleveland Browns,Seattle Seahawks,0
86,2019-10-13,4:05PM,2019-10-13 16:05:00,Los Angeles Rams,San Francisco 49ers,0
